time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001371,0.2699,0.3329,-2.4553,2.492
0.019024,0.0288,0.7352,-1.7582,1.906
0.037978,-0.0263,0.8210,-0.2893,0.871
0.058196,-0.1095,0.9313,0.5331,1.079
0.077653,0.2085,0.3809,0.5451,0.697
0.098378,0.5786,0.1804,0.3259,0.688
0.128024,0.1837,0.7062,1.1177,1.335
0.149619,0.5061,0.5971,0.6637,1.026
0.159194,1.6139,0.8492,-0.1655,1.831
0.179953,0.6837,0.1663,-0.7696,1.043
0.201397,0.2796,-0.3678,-0.4925,0.675
0.241243,0.0957,0.2085,0.9437,0.971
0.260646,0.3488,0.4382,0.5645,0.795
0.269168,0.2588,0.4852,0.3037,0.628
0.282346,0.1394,0.2704,0.1007,0.320
0.302343,0.2417,0.2244,-0.0881,0.341
0.339921,-0.7934,0.2843,0.1238,0.852
0.362204,-0.0838,1.0378,-0.6645,1.235
0.374925,0.5087,0.9035,-1.3945,1.738
0.385850,0.3470,0.8731,-1.7135,1.954
0.404432,-0.3543,0.4235,-0.3054,0.631
0.425533,0.2627,0.2208,0.1530,0.376
0.455036,1.0267,0.1108,-0.4385,1.122
0.475311,1.0727,0.0145,-0.3448,1.127
0.491350,1.0400,-0.2227,0.3157,1.109
0.505923,0.8801,-0.3042,0.5306,1.072
0.534823,0.9052,-0.2147,-0.0826,0.934
0.560156,-0.2961,0.4538,-0.2506,0.597
0.574061,-0.4213,0.7365,-0.3180,0.906
0.587721,-0.2855,0.6929,-0.1799,0.771
0.608736,0.3101,0.5620,-0.2353,0.684
0.637657,0.0295,0.5935,-0.0659,0.598
0.652648,0.0171,0.6989,0.3887,0.800
0.669301,-0.0761,0.5983,1.0434,1.205
0.690150,0.1146,0.2572,1.3118,1.342
0.709713,0.3457,0.0596,0.8694,0.938
0.733057,0.0621,0.0834,0.1047,0.148
0.759943,0.0577,0.2229,-0.1603,0.281
0.773106,0.1774,0.4054,-0.5948,0.741
0.791637,0.1069,0.5275,-0.8685,1.022
0.835202,-0.2768,0.5904,-0.6679,0.933
0.836094,-0.2735,0.6154,-0.6219,0.917
0.861999,-0.3120,0.5746,-0.3854,0.759
0.872652,-0.3614,0.4161,-0.3419,0.649
0.893089,-0.1454,0.0794,-0.0693,0.180
0.924084,0.2386,0.0761,-0.1589,0.297
0.947846,0.5024,0.3088,-0.2970,0.660
0.961300,0.5081,0.4264,-0.1716,0.685
0.974748,0.2988,0.6248,-0.2879,0.750
0.994763,0.1547,0.9732,-0.7004,1.209
1.024513,0.0929,0.9902,-1.4321,1.744
1.046299,-0.3955,1.1758,-1.2701,1.775
1.058133,-0.6194,1.0671,-0.7992,1.470
1.078706,-0.7719,1.1318,-0.9493,1.667
1.099096,-0.6164,1.1985,-0.8864,1.613
1.128136,-0.6246,1.0775,-1.0238,1.612
1.150400,-0.4384,1.1552,-1.0419,1.616
1.159907,-0.2638,1.0927,-1.0573,1.543
1.180663,0.0504,1.0363,-1.4563,1.788
1.201860,-0.2481,1.1839,-1.9025,2.255
1.221978,0.0740,1.1165,-1.8029,2.122
1.241011,-0.0100,1.1756,-2.4018,2.674
1.261477,-0.0759,1.2266,-2.4050,2.701
1.283063,-0.1072,1.4365,-1.8854,2.373
1.302640,-0.3337,1.6903,-1.4986,2.283
1.343800,-0.4245,1.4685,-0.5626,1.629
1.345020,-0.4783,1.3761,-0.5112,1.544
1.370202,-0.3665,1.1708,-0.2480,1.252
1.386530,-0.3199,0.9722,0.3005,1.067
1.404900,-0.2919,0.7873,1.3306,1.573
1.442835,-0.9971,0.5112,3.1317,3.326
1.464841,-0.4947,0.2331,2.5184,2.577
1.470955,-0.2406,0.3247,2.0476,2.087
1.486942,0.1414,0.4746,0.5540,0.743
1.506007,0.3751,-0.3594,0.5718,0.773
1.544037,0.7416,-0.5837,3.3086,3.441
1.562211,0.7678,-0.4201,3.3243,3.438
1.568133,0.9223,-0.4287,3.3234,3.476
1.588380,1.4942,-0.7501,3.5312,3.907
1.608992,2.0442,-0.9241,3.2736,3.969
1.642051,2.2422,-0.8672,1.9513,3.096
1.662774,1.7928,-0.5305,0.9403,2.093
1.670294,1.4409,-0.3990,0.2546,1.517
1.691133,0.7783,-0.1217,-1.2495,1.477
1.711493,0.4470,0.2993,-2.3370,2.398
1.740645,0.6802,0.9098,-4.0621,4.218
1.762008,0.8394,0.8266,-4.3955,4.551
1.772138,0.8825,0.7547,-3.9581,4.125
1.792753,0.6687,0.4993,-2.9081,3.025
1.813264,0.3185,0.0067,-2.0945,2.119
1.841580,0.1129,-0.3755,-1.8123,1.854
1.860494,0.1973,-0.2687,-2.0039,2.031
1.874874,0.1858,-0.0777,-2.0966,2.106
1.894398,0.2299,0.5288,-2.5894,2.653
1.915387,0.2360,0.6802,-2.3233,2.432
1.954582,0.2122,0.3141,-1.8315,1.870
1.970909,0.4982,-0.1162,-1.1305,1.241
1.984457,0.7098,-0.2524,-0.6771,1.013
2.000434,0.7588,-0.1321,-0.5301,0.935
2.017461,0.8525,-0.2420,-0.5935,1.067
2.038858,1.2471,-0.3018,0.3007,1.318
2.063972,2.0173,2.9341,-1.1371,3.738
2.082905,-1.4246,1.8423,-0.1402,2.333
2.100172,-0.8622,-0.8824,5.4394,5.578
2.138542,1.1933,-2.1221,6.1301,6.596
2.140068,1.1933,-2.1221,6.1301,6.596
2.162830,1.2336,-0.8952,3.7403,4.039
2.179427,0.1770,-0.4467,1.9804,2.038
2.199448,-0.8112,-0.4997,1.7595,2.001
2.238280,0.2066,0.7318,-2.1493,2.280
2.268704,0.3997,0.8400,-2.6575,2.816
2.269181,0.3997,0.8400,-2.6575,2.816
2.282691,0.0297,0.9942,-1.9973,2.231
2.301414,-0.9451,1.2231,-0.8775,1.777
2.336930,-0.3122,1.1606,-2.0629,2.387
2.361249,0.1228,0.9434,-2.6491,2.815
2.364662,0.1700,0.8468,-2.4854,2.631
2.382874,0.1685,0.5873,-1.3862,1.515
2.403305,-0.0120,-0.0112,0.4080,0.408
2.435583,-0.1600,-1.1044,0.8662,1.413
2.463482,-0.3046,-0.4308,-0.3397,0.627
2.464183,-0.3046,-0.4308,-0.3397,0.627
2.484348,0.2014,0.0770,-1.4598,1.476
2.504720,1.0774,0.2828,-0.9078,1.437
2.535763,0.6294,0.8399,0.8910,1.377
2.563566,1.0186,-0.1352,2.4864,2.690
2.581013,0.9798,-0.5497,2.5836,2.817
2.598142,1.2197,-0.9414,3.1739,3.528
2.615010,1.4056,-1.1799,3.5341,3.982
2.631533,1.3755,-1.0093,2.9387,3.398
2.653007,0.4491,-0.3048,1.2608,1.373
2.674902,0.1221,0.3092,-0.1244,0.355
2.687750,0.0801,0.5316,-0.8725,1.025
2.708241,0.1696,0.6282,-2.8873,2.960
2.736928,0.7245,0.6963,-3.1975,3.352
2.762897,0.8665,0.4942,-2.9030,3.070
2.780108,1.0585,0.5739,-2.9582,3.194
2.796443,1.0338,0.6112,-3.4525,3.655
2.813761,0.8740,0.8460,-3.8156,4.005
2.831287,0.5954,0.8441,-3.2957,3.454
2.854067,0.3763,0.3554,-1.9167,1.985
2.874889,0.7998,0.0355,-0.9224,1.221
2.890882,0.7543,-0.0466,-0.4400,0.874
2.911362,0.4983,-0.4163,1.0249,1.213
2.932576,0.5214,-0.5433,2.4728,2.585
2.952714,1.0951,1.0187,0.2412,1.515
2.981445,0.0300,1.6623,-0.8388,1.862
2.995864,-0.1839,0.2944,1.9406,1.971
3.013263,-0.1265,-1.2263,5.5846,5.719
3.050794,-0.1131,-0.8413,3.9535,4.044
3.076094,-0.4341,-0.8503,2.8712,3.026
3.076314,-0.4341,-0.8503,2.8712,3.026
3.095509,-0.5680,-0.8314,1.7363,2.007
3.115470,0.0324,0.0017,-1.2123,1.213
3.152190,0.9198,1.1824,-5.4304,5.633
3.171446,0.5048,1.7610,-4.3031,4.677
3.178909,0.1733,1.8558,-4.0037,4.416
3.199655,-0.5476,1.6181,-3.1025,3.542
3.215669,-0.2238,0.6610,-2.0646,2.179
3.257010,-0.2686,-1.0521,1.3951,1.768
3.280705,-0.0271,-0.9526,2.6854,2.849
3.281356,-0.0271,-0.9526,2.6854,2.849
3.300513,0.6127,-0.2556,1.5796,1.713
3.320897,0.7502,0.1228,0.2080,0.788
3.343862,1.6470,1.3189,-0.3587,2.140
3.361109,0.1043,1.2562,-0.6296,1.409
3.382433,1.6455,0.4891,1.3661,2.194
3.402894,1.4235,-0.3153,2.9571,3.297
3.443865,1.1395,-1.5730,5.5378,5.869
3.445631,0.8427,-1.5698,5.2663,5.559
3.463610,0.6304,-0.6645,3.3603,3.483
3.484505,0.1872,-0.3577,0.4334,0.592
3.504575,0.1539,0.3091,-2.1541,2.182
3.526689,0.3771,1.3510,-3.7086,3.965
3.565343,1.1749,1.5604,-2.0673,2.844
