time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006737,0.0858,-0.1289,-0.0907,0.179
0.019014,0.0952,-0.1464,-0.0690,0.188
0.022191,0.0776,-0.1463,-0.0475,0.172
0.024259,0.0776,-0.1463,-0.0475,0.172
0.025781,0.0776,-0.1463,-0.0475,0.172
0.053231,0.0950,-0.2133,0.0145,0.234
0.054328,0.0950,-0.2133,0.0145,0.234
0.069194,0.0400,-0.2559,-0.0193,0.260
0.070306,0.0353,-0.2576,-0.0050,0.260
0.070797,0.0353,-0.2576,-0.0050,0.260
0.071192,0.0353,-0.2576,-0.0050,0.260
0.086154,0.0327,-0.2574,0.0094,0.260
0.093457,0.0372,-0.2364,-0.0001,0.239
0.094057,0.0372,-0.2364,-0.0001,0.239
0.105233,0.0218,-0.2304,-0.0575,0.238
0.121107,0.0893,-0.2427,0.0073,0.259
0.121996,0.0893,-0.2427,0.0073,0.259
0.134864,0.0671,-0.2301,-0.0022,0.240
0.144443,0.0070,-0.2149,0.0049,0.215
0.163763,0.0912,-0.2121,0.0290,0.233
0.164640,0.0912,-0.2121,0.0290,0.233
0.178149,0.1103,-0.2312,0.0291,0.258
0.193137,0.0598,-0.2262,0.0747,0.246
0.204140,0.0082,-0.2029,0.0676,0.214
0.214678,0.4272,-0.1111,-0.0472,0.444
0.239797,0.0568,-0.2174,0.0295,0.227
0.258252,0.0313,-0.1940,0.0033,0.197
0.259450,0.0313,-0.1940,0.0033,0.197
0.261210,0.0533,-0.1855,0.0177,0.194
0.272924,0.0424,-0.2020,0.0155,0.207
0.274284,0.0424,-0.2020,0.0155,0.207
0.290730,0.0149,-0.1833,0.0467,0.190
0.292533,0.0149,-0.1833,0.0467,0.190
0.304681,-0.0068,-0.1631,0.0133,0.164
0.312692,0.0139,-0.1765,0.0253,0.179
0.332793,0.0912,-0.1900,-0.0438,0.215
0.345587,0.1358,-0.2490,0.0113,0.284
0.346797,0.1358,-0.2490,0.0113,0.284
0.348024,0.1358,-0.2490,0.0113,0.284
0.360474,0.0359,-0.2310,0.0017,0.234
0.380661,0.1092,-0.2617,-0.0197,0.284
0.382386,0.1092,-0.2617,-0.0197,0.284
0.395173,-0.0056,-0.2511,-0.0100,0.251
0.409497,0.0503,-0.2449,-0.0099,0.250
0.410586,0.1039,-0.2548,-0.0242,0.276
0.441321,0.1071,-0.1506,0.0576,0.194
0.442489,0.1071,-0.1506,0.0576,0.194
0.443192,0.1071,-0.1506,0.0576,0.194
0.455556,0.0309,-0.1279,0.0268,0.134
0.466682,-0.0624,-0.1683,0.0197,0.181
0.467513,-0.0624,-0.1683,0.0197,0.181
0.491468,0.0160,-0.2941,-0.0637,0.301
0.492534,0.0160,-0.2941,-0.0637,0.301
0.507394,-0.0207,-0.2932,-0.0542,0.299
0.508726,-0.0207,-0.2932,-0.0542,0.299
0.521115,0.0066,-0.1915,0.0246,0.193
0.537502,0.0421,-0.1814,-0.0164,0.187
0.555709,0.0245,-0.2724,0.0644,0.281
0.556772,0.0245,-0.2724,0.0644,0.281
0.570230,0.0298,-0.2051,0.1122,0.236
0.571491,0.0298,-0.2051,0.1122,0.236
