time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004041,-0.0659,0.0033,-0.1308,0.147
0.012806,-0.0666,-0.0173,-0.1809,0.194
0.014600,-0.0672,-0.0377,-0.1688,0.186
0.031496,-0.1390,-0.0165,-0.1230,0.186
0.039368,-0.1224,-0.0411,-0.0990,0.163
0.040382,-0.1224,-0.0411,-0.0990,0.163
0.053398,-0.1240,-0.1019,-0.0228,0.162
0.054375,-0.1240,-0.1019,-0.0228,0.162
0.084167,-0.1243,-0.0399,0.2129,0.250
0.102867,0.0272,-0.0052,0.0356,0.045
0.104955,0.0512,-0.0205,-0.0433,0.070
0.106185,0.0512,-0.0205,-0.0433,0.070
0.118801,0.0143,-0.0463,-0.0671,0.083
0.120208,-0.0175,-0.0090,-0.0478,0.052
0.137371,-0.0574,0.0778,-0.0473,0.108
0.148539,-0.0777,-0.0108,-0.0566,0.097
0.162720,-0.1167,-0.0681,0.0224,0.137
0.166388,-0.1427,-0.0515,0.0703,0.167
0.166909,-0.1427,-0.0515,0.0703,0.167
0.177150,-0.1362,-0.0213,0.1039,0.173
0.188614,-0.0854,0.0036,0.0781,0.116
0.207915,-0.0683,0.0424,-0.1318,0.154
0.208798,-0.1379,0.0308,-0.1483,0.205
0.222171,-0.1677,-0.0104,-0.0737,0.184
0.235554,-0.0808,-0.0294,0.0726,0.113
0.250299,-0.1363,-0.0410,-0.0233,0.144
0.286388,-0.0773,-0.1538,0.1078,0.203
0.287048,-0.0773,-0.1538,0.1078,0.203
0.303332,-0.0833,-0.0768,-0.0183,0.115
0.305050,-0.0833,-0.0768,-0.0183,0.115
0.306001,-0.0833,-0.0768,-0.0183,0.115
0.315774,0.0072,-0.0487,-0.0248,0.055
0.316744,0.0072,-0.0487,-0.0248,0.055
0.329269,-0.0617,0.0879,-0.0066,0.108
0.330301,-0.0617,0.0879,-0.0066,0.108
0.343270,-0.0733,0.1750,-0.1318,0.231
0.368801,0.0144,0.0641,-0.2145,0.224
0.370234,0.0187,0.0144,-0.2290,0.230
0.371458,0.0187,0.0144,-0.2290,0.230
0.404996,-0.1663,-0.0602,0.1373,0.224
0.406546,-0.1663,-0.0602,0.1373,0.224
0.407745,-0.1663,-0.0602,0.1373,0.224
0.423791,-0.1170,-0.1041,0.1868,0.244
0.425303,-0.1170,-0.1041,0.1868,0.244
0.440717,-0.1004,-0.1893,0.1026,0.238
0.441325,-0.1004,-0.1893,0.1026,0.238
0.459811,-0.0331,-0.0500,0.0738,0.095
0.477078,0.0220,0.0127,-0.0645,0.069
0.477875,0.0149,0.0448,-0.0667,0.082
0.486438,0.0125,0.0649,-0.1049,0.124
0.497669,-0.0143,0.0990,-0.1142,0.152
0.509092,-0.0217,0.1245,-0.1165,0.172
0.521817,-0.0255,0.1041,-0.1239,0.164
0.523686,-0.0380,0.0933,-0.1024,0.144
0.536645,-0.0446,0.0462,-0.1316,0.146
0.550561,-0.0946,-0.0088,-0.0870,0.129
0.551319,-0.0946,-0.0088,-0.0870,0.129
0.584751,-0.0983,-0.0985,0.0611,0.152
0.586585,-0.0983,-0.0985,0.0611,0.152
0.587922,-0.0950,-0.0964,0.0848,0.160
0.601786,-0.0642,-0.0801,0.0607,0.119
0.616473,-0.1386,-0.0017,-0.0111,0.139
0.617937,-0.1805,0.0336,0.0081,0.184
0.631474,-0.1901,0.0212,0.0560,0.199
0.632527,-0.1632,0.0170,0.0656,0.177
0.647528,-0.1879,-0.0567,0.1203,0.230
0.659604,-0.2282,-0.0232,0.1485,0.273
0.665740,-0.1924,-0.0273,0.1125,0.225
0.676503,-0.0905,-0.0515,-0.0048,0.104
0.690044,-0.0887,-0.0095,-0.1768,0.198
0.702716,-0.0980,-0.0078,-0.1669,0.194
