time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004352,-0.3373,-0.0399,-0.2124,0.401
0.004790,-0.3373,-0.0399,-0.2124,0.401
0.019909,-0.1142,-0.1139,-0.1312,0.208
0.039100,-0.2026,-0.0497,-0.0394,0.212
0.052324,-0.3671,0.0171,-0.0452,0.370
0.052864,-0.3671,0.0171,-0.0452,0.370
0.067827,-0.3359,0.1068,0.0478,0.356
0.068688,-0.3359,0.1068,0.0478,0.356
0.084319,-0.1592,0.1228,0.0009,0.201
0.085137,-0.1592,0.1228,0.0009,0.201
0.099111,-0.1666,0.0528,0.0852,0.194
0.104206,-0.1381,0.0141,0.0147,0.140
0.134531,0.0365,-0.2208,0.3210,0.391
0.136338,0.0365,-0.2208,0.3210,0.391
0.149449,0.0621,-0.0269,0.4725,0.477
0.149619,0.0621,-0.0269,0.4725,0.477
0.160226,0.0981,0.0702,0.4416,0.458
0.169563,0.0811,0.0636,0.4285,0.441
0.188209,0.1794,-0.0201,0.1032,0.208
0.189608,0.1477,-0.0928,-0.0621,0.185
0.215412,-0.0505,-0.2366,-0.3317,0.411
0.217066,-0.0850,-0.2161,-0.2724,0.358
0.230400,-0.1162,-0.1354,-0.0994,0.204
0.246218,0.0379,0.0387,0.2833,0.288
0.250389,0.0995,0.0692,0.3305,0.352
0.251835,0.1497,0.0537,0.3011,0.341
0.269078,0.0680,-0.0202,0.1298,0.148
0.269647,0.0680,-0.0202,0.1298,0.148
0.282282,-0.0236,-0.0979,0.1486,0.180
0.291212,-0.0601,-0.1021,0.2278,0.257
0.303755,-0.0092,-0.0927,0.3109,0.325
0.317054,0.1353,-0.1274,0.1753,0.255
0.328425,0.1807,-0.1683,-0.0280,0.249
0.330618,0.1807,-0.1683,-0.0280,0.249
0.345242,0.0554,-0.3215,-0.1701,0.368
0.346530,0.0127,-0.3292,-0.1664,0.369
0.368995,-0.0072,-0.2814,-0.0267,0.283
0.370504,-0.0072,-0.2814,-0.0267,0.283
0.384806,0.0874,-0.1400,0.0217,0.166
0.395938,0.0491,-0.0881,-0.0340,0.106
0.406111,0.0347,-0.1193,-0.1902,0.227
0.407434,0.0839,-0.1531,-0.2526,0.307
0.430130,-0.0406,-0.2083,-0.4168,0.468
0.431076,-0.0666,-0.2161,-0.4675,0.519
