time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.015176,0.3329,0.3222,-0.2806,0.542
0.027362,0.2244,0.3044,-0.0040,0.378
0.039078,0.0088,0.2699,0.0648,0.278
0.065852,-0.1107,0.1242,0.9586,0.973
0.092898,-0.0337,0.1853,1.3447,1.358
0.147239,0.1204,0.3433,0.1063,0.379
0.161574,0.4225,0.2934,0.3392,0.616
0.162729,0.4225,0.2934,0.3392,0.616
0.163856,0.4225,0.2934,0.3392,0.616
0.186403,0.2467,0.2388,0.1952,0.395
0.207671,0.1145,0.6371,-0.1078,0.656
0.217471,-0.0047,0.6370,-0.1992,0.667
0.236593,0.0878,0.5317,-0.7144,0.895
0.272076,1.0371,0.0392,-0.2024,1.057
0.356365,-0.0035,0.8910,0.9841,1.328
0.360132,-0.0457,0.7943,0.9747,1.258
0.360763,-0.0457,0.7943,0.9747,1.258
0.361185,-0.0457,0.7943,0.9747,1.258
0.361688,-0.0457,0.7943,0.9747,1.258
0.395235,-0.6131,-0.2383,1.5686,1.701
0.420883,-0.4296,-0.5242,2.4693,2.561
0.421447,-0.4296,-0.5242,2.4693,2.561
0.440593,0.6203,-0.2656,1.3681,1.525
0.477604,0.7668,0.4569,-0.5617,1.055
0.531141,-0.3823,-0.6963,-0.5975,0.994
0.531383,-0.3823,-0.6963,-0.5975,0.994
0.531596,-0.3823,-0.6963,-0.5975,0.994
0.542788,0.3627,-0.1779,-1.2157,1.281
0.568997,0.6020,0.4472,-1.2911,1.493
0.615392,0.1388,0.1133,-0.8663,0.885
0.616212,0.1388,0.1133,-0.8663,0.885
0.626381,0.2508,0.0462,-1.1129,1.142
0.644404,0.6346,0.1779,-1.1852,1.356
0.667164,0.7469,0.0557,-0.8398,1.125
0.695880,0.0031,0.1729,-0.3392,0.381
0.706356,-0.0618,0.1970,-0.3478,0.404
0.726168,-0.0173,-0.2892,-0.1959,0.350
0.746314,0.2354,0.1451,-0.6968,0.750
0.781594,0.0347,0.5067,-0.7801,0.931
0.847772,0.0381,0.3718,-0.0548,0.378
0.849138,0.1510,0.3219,0.0283,0.357
0.849959,0.1510,0.3219,0.0283,0.357
0.850663,0.1510,0.3219,0.0283,0.357
0.875963,0.2528,0.3428,0.3715,0.565
0.902418,-0.3398,0.1714,0.6471,0.751
0.914071,-0.0661,0.3656,0.5449,0.659
0.928968,-0.0563,0.5564,0.3686,0.670
0.951082,-0.1744,0.4590,-0.1301,0.508
0.978767,0.0463,0.2280,0.0225,0.234
1.002451,-0.4121,0.4209,0.4563,0.745
1.014609,-0.6183,0.2537,0.5048,0.838
1.031953,-0.0830,0.5444,-0.1165,0.563
1.052229,0.0173,0.8023,-0.6022,1.003
1.073841,-0.1608,0.7866,-0.6487,1.032
1.129791,-0.1763,0.8026,-0.7374,1.104
1.130071,-0.1763,0.8026,-0.7374,1.104
1.134275,0.1820,1.0010,-0.8729,1.341
1.154704,0.0719,1.3863,-0.1560,1.397
1.174895,-0.1592,1.2841,-0.3843,1.350
1.226990,0.1897,1.0190,0.2739,1.072
1.228819,0.2408,1.1393,0.2665,1.195
1.236022,0.1608,1.1235,0.2760,1.168
1.256040,0.0484,1.1538,0.2297,1.177
1.283005,-0.0151,1.2676,0.6566,1.428
1.306142,-0.3410,1.3555,0.0102,1.398
1.317409,-0.4790,1.6071,0.4665,1.741
1.337147,-0.4008,1.2002,0.2580,1.291
1.357399,0.0867,1.1012,-0.7139,1.315
1.378840,0.0513,1.0538,-0.8640,1.364
1.403261,-0.2240,0.9258,-0.3759,1.024
1.418980,-0.3043,1.1630,0.1343,1.210
1.439402,-0.3478,0.8169,0.4300,0.986
1.460431,-0.0875,0.9359,0.8192,1.247
1.480234,-0.0819,0.8777,0.8454,1.221
1.510639,-0.0720,0.7315,0.6224,0.963
1.522876,-0.3438,0.5446,0.7419,0.982
1.540755,-0.3729,0.4513,0.9518,1.117
1.560956,-0.3122,0.3772,0.9879,1.103
1.594366,-0.4565,0.3638,0.3968,0.706
