time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001799,0.1483,0.1425,-0.5499,0.587
0.018125,0.3804,0.1713,-0.1522,0.444
0.031249,0.3166,0.1470,0.0680,0.356
0.060078,0.1995,0.0527,0.4119,0.461
0.071477,0.2583,-0.0155,0.3929,0.471
0.093786,0.1217,-0.0493,-0.0341,0.136
0.121641,0.3082,0.2417,-0.1568,0.422
0.151487,0.2350,0.3424,-0.5437,0.684
0.165342,0.1437,0.5174,-0.2594,0.596
0.188234,0.0486,0.3565,-0.0924,0.371
0.198847,0.0956,0.2535,-0.0209,0.272
0.215048,-0.1160,0.3044,0.1614,0.364
0.233740,-0.2374,0.6833,-0.1451,0.738
0.254577,-0.1542,0.4478,0.2040,0.516
0.274517,-0.0147,0.1339,0.4618,0.481
0.294933,-0.6158,0.6725,0.4568,1.020
0.321751,-0.6011,0.5848,0.3415,0.905
0.352564,0.0063,0.2941,0.5618,0.634
0.357825,-0.0599,0.2710,0.6073,0.668
0.375951,-0.5229,0.3114,0.4925,0.783
0.396324,0.1847,0.7516,0.0590,0.776
0.416909,-0.0121,0.5811,0.2098,0.618
0.436743,0.2130,0.4956,0.5784,0.791
0.456661,0.5369,0.3167,0.5664,0.842
0.477564,0.5594,0.2816,0.7649,0.989
0.519516,0.3640,0.3347,-0.8252,0.962
0.520437,0.3640,0.3347,-0.8252,0.962
0.552861,0.1133,0.2784,-0.1115,0.321
0.566248,0.3229,0.2464,0.0873,0.415
0.580858,0.8593,0.3601,-0.5949,1.105
0.603394,1.0981,0.5728,-1.0067,1.596
0.619538,0.6205,0.9240,-1.3036,1.714
0.640779,0.8674,1.0787,-1.4355,1.994
0.661371,1.0013,0.7470,-0.4613,1.332
0.681746,0.8546,1.0627,-0.2698,1.390
0.713356,0.0293,0.9738,0.1096,0.980
0.742137,0.6963,0.3557,0.4734,0.914
0.753929,0.8398,0.3295,0.6668,1.122
0.770077,0.6636,0.7738,0.0472,1.020
0.783477,0.3781,1.1319,-1.2154,1.703
0.803068,0.1106,1.2984,-1.5824,2.050
0.823234,0.2421,1.4506,-1.0155,1.787
0.845318,0.0715,1.5147,-1.1043,1.876
0.865126,-0.1932,1.5529,-0.6115,1.680
0.884815,0.0066,1.5245,0.7368,1.693
0.911399,0.0489,1.2327,2.1378,2.468
0.933663,0.2844,1.1858,1.4845,1.921
0.951298,0.3920,1.2207,1.0887,1.682
0.966432,0.2308,0.8869,0.9150,1.295
0.987153,0.1340,0.5785,0.8656,1.050
1.006600,0.0404,0.3223,1.7401,1.770
1.027512,-0.1340,0.3655,2.9599,2.985
1.047221,-0.0673,0.8979,2.3304,2.498
1.068638,-0.4756,0.8190,1.5771,1.840
1.088810,-0.8898,0.7393,0.9760,1.514
1.131020,-0.7783,-0.9857,3.3960,3.621
1.132628,-0.9887,-1.2368,4.0123,4.313
1.157661,-0.2204,-1.2363,4.2759,4.457
1.172216,0.2720,-0.9387,2.3628,2.557
1.190254,0.1079,-0.6253,-1.8181,1.926
1.223408,-0.3116,0.2775,-1.2685,1.335
1.237334,-0.3772,0.5307,-0.2905,0.713
1.254614,-0.4109,0.4011,-0.3301,0.662
1.271098,-0.2970,0.1926,-1.0933,1.149
1.291635,-0.1811,0.0039,-1.9228,1.931
