time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001129,0.3374,-0.1028,-0.3724,0.513
0.019218,0.3034,-0.0066,-0.0412,0.306
0.041115,0.4094,0.1416,0.8777,0.979
0.055963,0.2431,0.3937,0.9857,1.089
0.075999,0.0882,0.1186,0.7002,0.716
0.096239,-0.5450,-0.1576,-1.0094,1.158
0.117103,0.2229,-0.0990,-0.7578,0.796
0.140470,0.1278,-0.0516,0.6649,0.679
0.157139,0.2616,-0.1684,1.7231,1.751
0.177214,-0.1420,-0.0113,0.6650,0.680
0.197385,-0.1742,0.1535,-0.6443,0.685
0.217442,-0.0545,-0.0095,-0.7224,0.724
0.240269,-0.1376,-0.1587,-0.6152,0.650
0.258361,-0.2499,-0.1050,-0.6076,0.665
0.278370,-0.2360,-0.0861,-0.5722,0.625
0.298584,0.0648,-0.2828,0.2928,0.412
0.319109,-0.1076,-0.3433,0.9552,1.021
0.339762,-0.4416,-0.2669,-0.6047,0.795
0.359574,-0.6877,-0.8319,-1.1155,1.552
0.379926,-0.8312,-0.3286,-0.5589,1.054
0.400187,-0.3827,-0.1372,0.1317,0.427
0.420401,0.1676,0.0191,0.3251,0.366
0.441307,0.2485,-0.3306,0.2007,0.460
0.462180,-0.4420,0.0981,-0.0120,0.453
0.481680,-0.5807,-0.4002,-0.0168,0.705
0.501752,-0.8585,-1.0477,0.5359,1.457
0.522001,0.7001,0.4021,-0.4486,0.924
0.542225,0.2865,0.3512,-0.6869,0.823
0.562341,0.0661,0.0816,-0.2963,0.314
0.582541,0.0101,0.0304,0.6805,0.681
0.602700,-0.0300,-0.1220,1.2082,1.215
0.623147,-0.0128,-0.0839,0.4907,0.498
0.643031,-0.2184,-0.1151,-0.5745,0.625
0.663293,-0.3261,-0.0219,-0.9958,1.048
0.683877,-0.4561,-0.6003,-0.1681,0.772
0.703888,0.2533,-0.2229,0.4001,0.523
0.724071,-0.0274,-0.0306,-0.0810,0.091
0.744278,-0.1808,0.0195,-0.7726,0.794
0.764444,-0.2221,-0.0238,-0.8213,0.851
0.784966,-0.0687,-0.4283,0.3007,0.528
0.805558,0.1616,-0.1457,1.1975,1.217
0.825653,-0.3355,-0.1180,0.6590,0.749
0.848522,-0.0448,-0.0232,-0.4790,0.482
0.865887,-0.0499,0.0223,-0.4171,0.421
0.886413,-0.1599,-0.1155,-0.0951,0.219
0.907057,0.0643,-0.2353,-0.1879,0.308
0.927136,-0.3191,0.0659,-0.2260,0.397
0.947907,-0.2860,-0.2417,-0.1766,0.414
0.967493,0.0737,0.1804,0.1835,0.268
0.987625,-0.0030,0.1764,0.2450,0.302
1.008677,-0.1040,-0.0147,0.0537,0.118
1.028380,-0.0772,-0.0912,-0.0176,0.121
1.048562,-0.1443,-0.1896,0.0513,0.244
1.068777,-0.1262,-0.1152,0.2561,0.308
1.089039,-0.0826,-0.0824,0.0811,0.142
1.109193,-0.1095,-0.1124,-0.1267,0.202
1.129249,-0.1966,-0.3276,-0.1243,0.402
1.149614,-0.1156,-0.3032,0.0591,0.330
1.169864,-0.0533,-0.1441,0.1733,0.232
1.189943,-0.1843,-0.1415,-0.0130,0.233
1.210090,-0.1784,0.1024,-0.4117,0.460
1.230156,-0.2496,-0.2462,-0.2551,0.434
1.250734,0.0068,-0.0341,-0.0622,0.071
1.271260,-0.0655,-0.0049,0.0526,0.084
1.291315,-0.0049,-0.0426,-0.1361,0.143
1.311830,-0.0751,-0.0261,-0.3010,0.311
1.332316,-0.3212,-0.0819,-0.1150,0.351
1.352662,-0.3069,-0.0508,0.2927,0.427
1.373060,-0.2004,-0.1342,0.2983,0.384
1.393175,-0.1266,-0.0787,0.0705,0.165
1.413812,-0.0178,-0.0105,-0.2071,0.208
1.434083,-0.0802,-0.0200,-0.1884,0.206
1.461214,-0.1263,0.0859,-0.0217,0.154
1.476676,-0.0357,0.0987,-0.0077,0.105
1.495230,-0.0973,0.0661,0.1647,0.202
1.515544,-0.0997,0.0646,0.0624,0.134
1.535475,-0.1192,0.0462,-0.1117,0.170
1.573501,-0.2065,-0.0291,0.1299,0.246
1.599722,-0.1318,-0.0143,0.1511,0.201
1.600518,-0.1318,-0.0143,0.1511,0.201
1.619186,-0.2410,-0.0914,0.1649,0.306
1.655909,-0.1716,-0.1492,0.3578,0.424
1.672220,-0.2395,-0.1016,0.1592,0.305
1.683746,-0.1729,-0.1762,-0.0085,0.247
1.701816,-0.2124,-0.1583,-0.0207,0.266
1.718763,-0.1593,-0.1520,0.1177,0.250
1.758113,-0.2675,-0.1048,-0.0731,0.296
1.777726,-0.2276,-0.1700,-0.2350,0.369
1.783510,-0.1432,-0.1717,-0.1678,0.280
1.801091,0.0833,-0.1914,-0.0143,0.209
1.820780,0.1296,-0.1036,-0.0691,0.180
1.855012,0.0327,-0.0545,-0.2240,0.233
1.875322,-0.0983,-0.1571,-0.1905,0.266
1.883786,-0.0463,-0.1262,-0.0422,0.141
1.901658,0.0257,-0.0843,0.0007,0.088
1.922356,-0.1613,-0.1021,-0.1339,0.233
1.954082,-0.0680,-0.1402,-0.2306,0.278
1.974885,-0.0820,-0.1879,-0.0759,0.219
1.983256,-0.0229,-0.1780,0.0099,0.180
2.004014,-0.0548,-0.1487,0.1604,0.225
2.024214,-0.1566,-0.0884,0.1750,0.251
2.054043,-0.0678,-0.1472,0.0943,0.188
2.074391,-0.1979,-0.1153,-0.0251,0.230
2.084708,-0.2273,-0.1237,0.0229,0.260
2.105727,-0.1552,-0.0549,0.1116,0.199
2.126424,-0.2317,0.0247,-0.0580,0.240
2.153940,-0.3011,-0.1237,-0.0628,0.332
2.172892,-0.1648,-0.0530,-0.0345,0.176
2.187108,-0.3263,-0.0335,0.0562,0.333
2.207449,-0.0966,-0.0481,0.2213,0.246
2.228026,-0.1133,-0.0279,0.0709,0.137
2.253198,-0.1657,-0.1371,-0.0361,0.218
2.270975,-0.2044,-0.0690,-0.1124,0.243
2.288922,-0.0342,-0.0938,-0.0403,0.108
2.309088,0.0190,-0.1873,-0.2792,0.337
2.329918,-0.0736,-0.1653,-0.0010,0.181
2.370203,0.0483,-0.1737,0.0197,0.181
2.371121,0.0455,-0.1063,0.0631,0.132
2.389975,-0.1746,-0.1814,0.0397,0.255
2.410651,-0.0579,-0.1511,-0.1009,0.191
2.430970,-0.1503,-0.1106,0.0289,0.189
2.471840,-0.0904,-0.1402,0.0246,0.169
2.472731,-0.0904,-0.1402,0.0246,0.169
2.496333,-0.0874,-0.0750,-0.0822,0.141
2.514254,-0.2528,-0.1235,-0.1226,0.307
2.532923,-0.1110,-0.1411,-0.0653,0.191
2.568038,-0.1194,-0.0449,-0.0254,0.130
2.588377,-0.0070,-0.1100,-0.0448,0.119
2.596796,-0.2072,-0.0918,0.0460,0.231
2.613722,-0.2261,-0.0895,-0.0118,0.244
2.634985,-0.1133,0.0569,0.0071,0.127
2.668247,-0.2341,-0.0813,-0.0654,0.256
2.687266,-0.2456,-0.0546,-0.0013,0.252
2.696183,-0.2181,-0.0310,0.0798,0.234
2.715765,-0.2468,-0.1053,0.1176,0.293
2.736302,-0.1997,-0.1216,0.1436,0.274
2.768828,-0.1730,-0.0552,0.0311,0.184
2.788358,-0.2513,-0.0548,0.1152,0.282
2.797534,-0.2522,-0.0381,0.1180,0.281
2.818278,-0.0917,-0.0285,-0.0270,0.100
2.838214,0.0272,-0.1011,-0.0690,0.125
2.868145,-0.1168,-0.1794,0.1187,0.245
2.888046,-0.1276,-0.1310,0.1285,0.223
2.898726,-0.1582,-0.1315,0.0807,0.221
2.919879,0.0096,-0.1815,-0.0964,0.206
2.939937,-0.0237,-0.0925,-0.1178,0.152
2.970071,-0.0665,0.0313,-0.3534,0.361
2.986793,-0.2420,0.0128,-0.5658,0.616
3.000820,-0.2106,-0.0214,-0.5779,0.615
3.021667,-0.1475,-0.0235,-0.0930,0.176
3.044597,-0.1999,-0.0591,0.1395,0.251
3.062557,-0.2566,-0.1003,0.3251,0.426
3.083439,-0.1967,-0.0509,0.2622,0.332
3.102269,-0.2392,-0.0185,-0.0178,0.241
3.122855,-0.1393,0.0145,-0.0582,0.152
3.149985,-0.1609,0.0666,0.0237,0.176
3.174091,-0.2247,-0.0440,0.1409,0.269
3.184054,-0.2162,-0.0458,0.1600,0.273
3.205766,-0.1433,-0.0207,0.2697,0.306
3.224685,-0.1315,-0.0076,0.2652,0.296
3.244786,-0.2010,-0.0161,0.1033,0.227
3.266122,-0.2215,-0.0300,-0.0513,0.229
3.292238,-0.3121,-0.0575,-0.0767,0.326
3.305685,-0.2698,-0.0452,-0.1168,0.297
3.325918,-0.0833,-0.0608,-0.0968,0.141
3.368720,-0.1388,-0.1555,-0.0097,0.209
3.370165,-0.1796,-0.1606,0.0191,0.242
3.391508,-0.1107,-0.1414,0.1270,0.220
3.409015,-0.0877,-0.0822,-0.0067,0.120
3.427408,-0.1552,-0.0350,-0.1402,0.212
3.463663,-0.2288,-0.0654,0.0397,0.241
3.479998,-0.1053,-0.0505,0.0325,0.121
3.493213,-0.1708,-0.0843,0.0253,0.192
3.509448,-0.1679,-0.0936,0.0999,0.217
3.528414,-0.1919,-0.0792,0.1271,0.243
3.564198,-0.0798,-0.0726,-0.1099,0.154
3.578691,-0.1629,-0.0787,-0.1475,0.233
3.592243,-0.1162,-0.0784,-0.1280,0.190
3.609051,-0.1792,-0.0881,0.0113,0.200
3.629842,-0.1767,-0.0822,-0.0191,0.196
