time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004542,-0.2427,0.0181,-0.6580,0.702
0.021750,-0.3051,0.2055,-0.7817,0.864
0.043733,-0.6051,0.8752,0.2211,1.087
0.073015,0.7718,0.3812,1.0783,1.380
0.086992,0.9588,-0.1107,1.2904,1.611
0.126524,0.3903,0.2143,2.0266,2.075
0.130186,0.3903,0.2143,2.0266,2.075
0.143168,-0.3127,0.7070,1.5541,1.736
0.184605,1.0863,0.6902,-0.4088,1.350
0.201518,0.7697,-0.5086,0.3521,0.987
0.210487,0.8285,-0.6229,0.1614,1.049
0.245149,0.2856,-0.5102,0.1516,0.604
0.248105,0.1657,-0.5820,0.4833,0.774
0.274434,0.0402,-0.5313,1.0227,1.153
0.286377,0.8022,-0.6087,1.2628,1.615
0.309743,1.6989,-0.7249,0.8822,2.047
0.327197,2.0862,-0.9504,-0.0162,2.293
0.347286,0.2910,-0.4837,-1.2192,1.344
0.373248,-1.1510,0.0737,-1.3810,1.799
0.390832,0.0164,0.3840,-0.9239,1.001
0.408066,-0.0791,0.5309,-0.8121,0.973
0.428293,-0.1037,0.2811,-1.6791,1.706
0.452296,0.0682,0.3700,-2.2439,2.275
0.481651,0.1835,0.7209,-1.3366,1.530
0.516026,0.5493,0.2171,-0.4027,0.715
0.517056,0.4475,-0.0187,-0.1208,0.464
0.534440,-0.0720,-0.1704,-0.1094,0.215
0.550407,-0.4515,-0.1411,0.2220,0.523
0.585830,0.3038,-0.3379,0.0200,0.455
0.599330,0.3336,-0.3039,-0.4226,0.618
0.611201,0.2897,-0.2604,-0.5117,0.643
0.631959,0.1595,-0.3307,-0.3705,0.522
0.651657,0.0594,-0.0141,-0.1311,0.145
0.687722,0.1428,0.1085,0.1839,0.257
0.727935,0.0323,-0.0168,-0.4172,0.419
0.728689,0.0323,-0.0168,-0.4172,0.419
0.740119,0.1350,0.0007,-0.4412,0.461
0.756152,-0.0246,0.0639,-0.2577,0.267
0.777450,-0.1439,0.0227,-0.1785,0.230
0.796805,-0.0319,0.0067,-0.1986,0.201
0.817851,0.1105,-0.0433,0.0948,0.152
0.843348,0.0842,0.0846,0.4463,0.462
0.859442,0.1271,-0.0329,0.2181,0.255
0.888720,0.1358,-0.0847,0.1963,0.253
0.918660,0.0280,-0.0876,0.0608,0.110
0.926338,0.0249,-0.0498,0.0038,0.056
0.939842,0.0601,-0.0370,-0.0701,0.099
0.960293,-0.0600,-0.0636,-0.3239,0.335
0.995698,0.0155,0.1297,-0.1845,0.226
1.021530,0.0250,0.2843,0.2111,0.355
1.021986,0.0250,0.2843,0.2111,0.355
1.040986,0.1033,0.0882,-0.2924,0.322
1.061769,-0.1035,-0.0375,-0.2593,0.282
1.092775,-0.0139,-0.0611,0.0492,0.080
1.130192,-0.1240,-0.1023,0.6431,0.663
1.130897,-0.2351,-0.0823,0.5404,0.595
1.149534,-0.1634,-0.1019,-0.0118,0.193
1.166442,-0.2791,-0.0268,-0.2118,0.351
1.186203,0.0616,0.0704,-0.1678,0.192
1.204070,0.0801,0.1394,-0.3251,0.363
1.223901,0.1113,0.1547,-0.3053,0.360
1.245049,0.0346,0.1464,-0.2159,0.263
1.289136,-0.0792,0.0929,-0.1467,0.191
1.290556,-0.1358,0.0688,-0.1681,0.227
1.340078,-0.1986,-0.0468,0.0260,0.206
1.341522,-0.1479,-0.0550,0.0949,0.184
1.347729,-0.1020,-0.0727,0.1661,0.208
1.384552,0.2056,-0.1199,0.3572,0.429
1.398097,0.2722,-0.1443,0.2301,0.385
1.414758,0.1565,-0.1879,0.0193,0.245
1.432360,0.1623,-0.1304,-0.1077,0.234
1.448342,0.2179,-0.0787,-0.0695,0.242
1.489819,0.1077,-0.0337,-0.2760,0.298
1.490480,0.1077,-0.0337,-0.2760,0.298
1.527254,-0.0292,-0.0190,0.1058,0.111
1.534694,-0.0462,0.0135,0.0934,0.105
1.549908,0.0287,-0.0031,0.0855,0.090
1.588327,0.0161,0.0244,0.1011,0.105
1.621278,0.2012,0.0126,0.3688,0.420
1.621767,0.2012,0.0126,0.3688,0.420
1.631980,0.1588,0.0152,0.3091,0.348
1.651717,0.2586,0.1123,0.1352,0.313
1.688119,0.2221,0.0897,-0.0579,0.246
1.708981,0.1247,0.0178,0.0597,0.139
1.712193,0.1247,0.0178,0.0597,0.139
1.733053,0.1303,0.0558,0.1270,0.190
1.753180,0.0020,0.0471,0.0770,0.090
1.782453,0.0074,-0.0078,-0.3535,0.354
1.801563,-0.0125,-0.0483,-0.2434,0.249
1.814351,-0.0325,-0.0285,-0.0352,0.056
1.834770,-0.0915,0.0032,-0.0184,0.093
1.855057,-0.0589,-0.0627,-0.0880,0.123
1.882803,-0.0740,-0.0017,-0.0428,0.086
1.902060,-0.0847,0.0396,0.0073,0.094
1.915767,-0.0540,-0.0231,-0.1029,0.119
1.936253,-0.1213,0.0666,-0.1101,0.177
1.956433,-0.1359,0.0886,-0.0979,0.189
1.981772,-0.1350,0.1384,-0.0187,0.194
2.004449,-0.0149,0.0570,0.0104,0.060
2.018196,-0.1049,0.0223,0.0658,0.126
2.038353,0.1038,0.0724,0.0474,0.135
2.058901,0.0025,-0.0102,0.1008,0.101
2.079161,0.0508,0.0478,0.1234,0.142
2.100779,0.1213,0.0405,0.0934,0.158
2.120201,0.1584,0.0721,-0.0948,0.198
2.141263,0.1235,0.0259,-0.2281,0.261
2.161071,0.1451,0.1298,-0.2299,0.301
2.197418,-0.0267,-0.0043,-0.1293,0.132
2.214601,0.1054,0.0422,-0.0983,0.150
2.226882,0.0459,-0.0645,-0.0387,0.088
2.244156,0.0495,-0.0994,-0.0318,0.115
2.262480,0.0425,-0.0927,0.0187,0.104
2.297618,0.0491,-0.0111,-0.0291,0.058
2.313997,0.0243,-0.0296,-0.0244,0.045
2.327258,0.0962,0.0038,-0.0029,0.096
2.343951,0.1127,0.0590,-0.0315,0.131
2.364386,0.1102,0.0398,-0.1153,0.164
2.395834,0.0797,0.0688,-0.0436,0.114
2.411692,-0.0560,0.0292,0.0686,0.093
2.426535,-0.0457,0.0475,0.1306,0.146
2.445464,-0.0687,-0.0769,0.1279,0.164
2.465814,-0.0237,-0.0764,0.0417,0.090
2.496083,-0.0824,-0.1001,0.0681,0.147
2.513298,-0.3220,-0.0920,-0.0012,0.335
2.526887,-0.3036,-0.1024,-0.0563,0.325
2.547137,-0.0663,-0.1185,-0.0731,0.154
2.567365,0.0680,-0.1393,-0.0564,0.165
2.596017,-0.0153,-0.1440,0.2174,0.261
2.613198,-0.0576,-0.2577,0.2262,0.348
2.628010,-0.0049,-0.2559,0.2181,0.336
2.648289,0.0873,-0.1159,0.0164,0.146
2.678285,0.0387,-0.0229,-0.3192,0.322
2.695605,0.0096,-0.0057,-0.2493,0.250
2.709734,-0.0129,0.0818,-0.0887,0.121
2.729837,0.0177,0.0184,0.0215,0.033
2.749903,0.2126,-0.0557,0.1460,0.264
2.777386,0.0623,0.0092,-0.0872,0.108
2.794916,0.0824,0.0661,-0.2969,0.315
2.811756,-0.0156,0.1400,-0.3297,0.359
2.831587,-0.0101,0.2210,-0.2650,0.345
2.851908,-0.0594,0.2122,-0.2368,0.323
2.876578,-0.0458,0.1614,-0.1516,0.226
2.892345,0.0428,0.0634,0.0870,0.116
2.912594,0.1727,0.0218,0.4887,0.519
2.932784,0.0949,-0.0068,0.4197,0.430
2.953649,0.0133,-0.0414,0.1980,0.203
2.976554,-0.0276,-0.0131,-0.0427,0.053
2.993874,0.0525,0.0526,-0.0926,0.119
3.014376,0.0646,0.0926,0.0181,0.114
3.040155,-0.1228,-0.0024,-0.1533,0.196
3.057018,-0.1912,0.0097,-0.1652,0.253
3.092265,-0.2009,0.0267,0.1070,0.229
3.106109,-0.1107,0.0346,0.0352,0.121
3.123522,-0.1800,-0.0213,-0.0100,0.182
3.140217,-0.2116,-0.0177,-0.1388,0.254
3.157954,-0.0971,-0.0322,-0.0883,0.135
3.192588,0.0844,0.0262,-0.1939,0.213
3.210100,0.0761,0.0214,0.0522,0.095
3.223762,0.0575,0.0525,0.0329,0.085
3.239830,0.0503,0.0789,-0.0962,0.134
3.257507,-0.1254,-0.0072,0.0455,0.134
3.292066,-0.0345,-0.0766,0.2228,0.238
